"","Age"
"2390",45
"2391",32
"2392",62
"2393",42
"2394",40
"2395",30
"2396",21
"2397",40
"2398",34
"2399",59
"2400",32
"2401",49
"2402",51
"2403",44
"2404",24
"2405",39
"2406",22
"2407",62
"2408",22
"2409",74
"2410",52
"2411",27
"2412",60
"2413",78
"2414",70
"2415",29
"2416",31
"2417",30
"2418",58
"2419",22
"2420",24
"2421",29
"2422",46
"2423",56
"2424",66
"2425",21
"2426",37
"2427",33
"2428",46
"2429",49
"2430",60
"2431",26
"2432",42
"2433",35
"2434",57
"2435",59
"2436",47
"2437",41
"2438",53
"2439",53
"2440",56
"2441",64
"2442",34
"2443",27
"2444",60
"2445",42
"2446",28
"2447",48
"2448",65
"2449",69
"2450",71
"2451",61
"2452",37
"2453",28
"2454",23
"2455",62
"2456",42
"2457",31
"2458",48
"2459",52
"2460",52
"2461",33
"2462",59
"2463",22
"2464",50
"2465",52
"2466",58
"2467",25
"2468",59
"2469",41
"2470",48
"2471",34
"2472",59
"2473",69
"2474",23
"2475",26
"2476",62
"2477",71
"2478",62
"2479",38
"2480",31
"2481",63
"2482",23
"2483",28
"2484",37
"2485",46
"2486",57
"2487",77
"2488",68
"2489",62
"2490",65
"2491",45
"2492",46
"2493",58
"2494",22
"2495",38
"2496",67
"2497",41
"2498",35
